,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12
25,Shoogee,2.06526,-15.59968,0.07462,9.37420,-7.65411,GMMs and Accordions,-3.46450,-19.12423,-73.96099,7.21852,-20.27959,True
26,Bob,21.14017,-15.49560,-0.73024,6.07180,-7.57873,GMMs and Accordions,7.55799,-25.84994,-79.44756,9.31113,-20.14428,True
27,Bob,4.79816,-15.43786,-0.37563,12.23259,10.68247,GMMs and Accordions,-8.30674,11.66182,-76.02700,8.90771,-20.06921,True
28,Atsuto,-15.93236,-15.36891,0.08402,-4.95284,-3.22862,GMMs and Accordions,-5.00904,25.50880,-72.41075,10.58792,-19.97959,False
29,Bob,5.75535,-15.38859,-0.51642,13.11630,-4.43994,GMMs and Accordions,-1.18701,6.81616,-79.01338,9.11172,-20.00517,True
30,Jorg,-32.59104,-15.43499,0.73033,5.62028,3.45360,Bayesian Inference,-5.13344,17.58425,-72.44575,4.60161,-20.06549,False
31,Jorg,2.45221,-15.45531,-0.26605,7.14330,-4.41003,GMMs and Accordions,26.33192,97.42010,-73.83511,6.15909,-20.09190,True
32,Atsuto,-25.79221,-15.50983,0.69865,19.68854,4.22723,Bayesian Inference,1.57813,-1.50589,-77.34172,7.53263,-20.16278,False
33,Shoogee,-3.98663,-15.53723,0.11231,4.17921,-8.43417,Bayesian Inference,-19.97895,15.35888,-75.57528,6.14678,-20.19840,False
34,Atsuto,-14.84552,-15.38621,0.09111,-8.72905,-5.26169,GMMs and Accordions,-11.82756,8.27073,-79.03702,7.68203,-20.00207,False
35,Shoogee,6.51852,-15.58736,-0.08599,7.77652,0.81830,GMMs and Accordions,-5.64335,-46.40653,-76.81847,7.83370,-20.26357,True
36,Bob,6.05660,-15.47757,-0.32253,0.84650,-3.96552,GMMs and Accordions,-9.54070,10.71793,-78.08059,7.80364,-20.12085,True
37,Jorg,-18.29736,-15.43011,0.29390,23.86395,4.97393,Bayesian Inference,-2.04045,-11.16637,-74.37601,6.86687,-20.05914,False
38,Jorg,-29.47564,-15.43750,0.64335,12.84462,-4.17527,Bayesian Inference,-28.78680,-0.96182,-76.85926,10.70957,-20.06875,False
39,Jorg,-29.53498,-15.38049,0.51515,0.25502,-1.45039,Bayesian Inference,-2.40239,9.80442,-75.03548,4.46950,-19.99464,False
40,Atsuto,-41.05447,-15.33611,0.75673,19.63130,6.80984,Bayesian Inference,5.12827,-10.89057,-77.96476,8.53195,-19.93694,False
41,Jorg,-14.32877,-15.37381,0.04748,0.86359,-1.04626,Bayesian Inference,2.96498,-12.78634,-78.30325,7.36719,-19.98596,False
42,Shoogee,7.34082,-15.59850,-0.08506,6.43607,-5.33948,GMMs and Accordions,14.40008,29.63424,-74.51749,6.91892,-20.27805,True
43,Shoogee,-1.34963,-15.48479,-0.08572,10.66485,5.90374,Bayesian Inference,-12.64422,-6.77717,-77.19879,6.40288,-20.13022,False
44,Atsuto,-27.58461,-15.37054,0.43444,32.61372,6.92943,Bayesian Inference,-11.62588,4.51458,-78.56389,9.14792,-19.98170,False
45,Bob,-33.50464,-15.42239,0.72879,17.93122,-2.18647,Bayesian Inference,4.57859,-16.89835,-77.90919,7.91137,-20.04911,False
46,Bob,-11.10703,-15.39405,-0.00225,18.64741,6.17288,Bayesian Inference,-0.39740,-4.36125,-79.46759,5.88458,-20.01226,False
47,Jorg,-26.40844,-15.37943,0.41970,19.77307,4.60554,Bayesian Inference,7.43519,41.10497,-77.21860,8.16472,-19.99325,False
48,Atsuto,-6.31451,-15.38530,-0.16480,3.26079,0.96644,Bayesian Inference,3.51147,4.72864,-72.70767,6.02881,-20.00089,False
49,Atsuto,-15.49164,-15.42199,0.19191,-17.51294,0.59063,GMMs and Accordions,4.23342,-12.94277,-78.42834,7.34812,-20.04859,False
50,Jorg,-6.48808,-15.38640,-0.15712,-3.40376,5.61306,GMMs and Accordions,-18.18712,16.07250,-78.40005,8.55860,-20.00232,False
51,Atsuto,-14.29369,-15.50041,0.33503,1.48842,-0.61142,Bayesian Inference,-5.26968,-12.59583,-75.44075,5.79341,-20.15053,False
52,Atsuto,-30.75278,-15.46661,0.74772,11.97294,1.48605,Bayesian Inference,-0.63279,-12.72677,-73.33710,8.55933,-20.10659,False
53,Atsuto,-16.42762,-15.35934,0.07693,-13.07983,-9.41892,GMMs and Accordions,3.10205,9.58733,-72.60949,9.71430,-19.96714,False
54,Bob,-40.40151,-15.33327,0.73082,11.82508,3.82203,Bayesian Inference,-7.88588,23.72154,-77.36277,7.94389,-19.93325,False
55,Bob,4.08271,-15.46700,-0.28789,27.04050,-3.20369,GMMs and Accordions,-12.90385,17.09463,-77.57689,7.25120,-20.10710,True
56,Atsuto,-29.66024,-15.45921,0.69833,11.87453,5.98121,Bayesian Inference,0.02932,5.83074,-73.35181,8.55333,-20.09697,False
57,Jorg,-17.19388,-15.37766,0.14150,17.55211,5.34523,Bayesian Inference,10.65335,26.46186,-77.95658,8.95306,-19.99096,False
58,Bob,11.98499,-15.45318,-0.55453,17.57588,3.35393,GMMs and Accordions,14.70932,-23.12109,-77.25036,8.34750,-20.08914,True
59,Jorg,-16.86641,-15.41980,0.22783,16.12533,-2.48301,Bayesian Inference,12.05076,-41.55129,-78.13425,10.23023,-20.04574,False
60,Bob,12.26258,-15.49041,-0.47792,1.15110,-6.47956,GMMs and Accordions,2.69328,-0.44298,-77.85720,7.17185,-20.13753,True
61,Atsuto,-10.81817,-15.50196,0.23516,7.76577,-2.80203,Bayesian Inference,2.31857,-2.99360,-74.22052,8.07586,-20.15255,False
62,Bob,-36.98073,-15.35567,0.68012,18.33925,2.51386,Bayesian Inference,-2.73899,19.96998,-78.14098,7.17099,-19.96237,False
63,Bob,2.50187,-15.41707,-0.35470,12.74475,-6.63470,GMMs and Accordions,5.45419,-9.01334,-79.46296,6.64414,-20.04219,True
64,Bob,15.17434,-15.40331,-0.76312,9.58964,-6.12696,GMMs and Accordions,-8.60936,27.73526,-79.65592,6.65500,-20.02431,True
65,Atsuto,-4.64932,-15.50672,0.06247,2.22997,-0.43861,Bayesian Inference,-1.83133,5.90191,-78.15508,8.62263,-20.15874,False
66,Atsuto,-33.45000,-15.37202,0.61232,8.46557,-0.28902,Bayesian Inference,-10.06256,1.90092,-73.77937,7.92242,-19.98362,False
67,Atsuto,-22.19162,-15.50646,0.58384,4.09571,-3.70292,Bayesian Inference,12.34260,-11.37472,-76.26862,8.80118,-20.15840,False
68,Atsuto,-22.49687,-15.39401,0.33657,4.94438,6.54149,Bayesian Inference,4.69085,-13.82033,-74.59123,9.38145,-20.01222,False
69,Atsuto,-8.49179,-15.51798,0.20246,2.18582,4.44137,Bayesian Inference,-0.37094,10.52908,-74.04234,9.42405,-20.17337,False
70,Bob,-14.25024,-15.36188,0.01794,38.11035,1.45905,Bayesian Inference,-2.28533,17.92363,-78.56955,6.77617,-19.97045,False
71,Atsuto,-14.94700,-15.44743,0.23369,2.97593,-4.33349,Bayesian Inference,1.70721,5.03447,-75.82787,8.02164,-20.08165,False
72,Shoogee,3.01357,-15.58365,0.00986,2.83886,2.22331,GMMs and Accordions,16.34265,-6.01922,-77.03717,6.09618,-20.25875,True
73,Atsuto,2.68063,-15.49634,-0.17929,-11.92644,-4.52559,Bayesian Inference,1.85319,-5.22748,-76.74211,6.72870,-20.14525,True
74,Bob,8.84117,-15.45835,-0.44921,9.99071,0.88457,GMMs and Accordions,-23.05541,35.83609,-77.02928,7.15676,-20.09585,True
75,Atsuto,-27.28328,-15.49095,0.69998,4.52816,2.62332,Bayesian Inference,5.88552,-11.31410,-73.86948,8.65101,-20.13824,False
76,Bob,7.03313,-15.46107,-0.38922,0.82043,5.50787,GMMs and Accordions,-12.08395,19.94679,-77.91474,6.91907,-20.09939,True
77,Atsuto,-6.19870,-15.49700,0.08641,10.27450,-1.02673,Bayesian Inference,5.61160,21.15981,-79.14869,9.10351,-20.14610,False
78,Atsuto,-6.22486,-15.37266,-0.19627,-10.67195,6.85492,GMMs and Accordions,-1.24279,-38.02717,-72.20721,7.50089,-19.98446,False
79,Jorg,-37.39773,-15.40809,0.81202,14.10009,6.35082,Bayesian Inference,-3.70292,5.86867,-76.09302,9.79396,-20.03051,False
80,Bob,-19.88428,-15.37156,0.20764,7.75943,1.66565,Bayesian Inference,8.61706,-9.77870,-77.22701,7.30118,-19.98303,False
81,Atsuto,-40.55023,-15.33259,0.73371,15.78960,1.29110,Bayesian Inference,-6.17551,-4.48375,-75.86146,6.07408,-19.93237,False
82,Jorg,-10.47582,-15.44004,0.08382,23.10188,5.29175,Bayesian Inference,2.22097,15.22906,-73.24433,4.40536,-20.07205,False
83,Bob,17.02249,-15.51167,-0.57108,11.84450,-0.91475,GMMs and Accordions,13.33930,-33.84157,-77.23088,6.95447,-20.16517,True
84,Atsuto,-33.53857,-15.46193,0.81995,20.04088,-0.68576,Bayesian Inference,-6.29486,13.22489,-76.94625,6.33964,-20.10051,False
85,Atsuto,-25.78601,-15.50228,0.68126,15.99068,7.47024,Bayesian Inference,-0.02932,3.37080,-78.57694,7.50858,-20.15297,False
86,Jorg,-4.65425,-15.38161,-0.22261,24.42574,5.16652,Bayesian Inference,18.40751,50.13871,-76.69739,7.68503,-19.99609,False
87,Jorg,-34.61638,-15.36717,0.63597,18.21304,1.57773,Bayesian Inference,-0.69365,-0.99945,-76.73802,9.70802,-19.97732,False
88,Bob,-33.95440,-15.47009,0.85092,22.59375,0.85226,Bayesian Inference,4.16766,1.33535,-77.64157,6.90420,-20.11112,False
89,Bob,0.68938,-15.47269,-0.17397,1.07064,-2.43698,GMMs and Accordions,-17.19989,38.70521,-76.76885,7.99548,-20.11449,True
90,Atsuto,-32.34026,-15.33956,0.50531,15.20081,1.70736,Bayesian Inference,0.53333,-12.86708,-78.76298,7.69501,-19.94143,False
91,Shoogee,-7.53687,-15.47687,0.08034,-8.61722,0.93074,GMMs and Accordions,-15.01276,-17.26596,-77.22429,8.76766,-20.11993,False
92,Atsuto,5.23568,-15.52894,-0.18099,11.33897,1.38430,GMMs and Accordions,-6.05955,13.36386,-79.52521,9.90644,-20.18763,True
93,Shoogee,1.20460,-15.53057,-0.05734,-1.88879,-2.17208,Bayesian Inference,-12.91012,8.63861,-75.66010,5.86960,-20.18974,True
94,Jorg,-30.43481,-15.34475,0.46045,10.95649,5.63854,Bayesian Inference,14.83694,3.42649,-73.16975,6.91360,-19.94818,False
95,Atsuto,-18.81324,-15.48249,0.42867,13.84218,8.17872,Bayesian Inference,2.32056,-5.14377,-74.90930,9.88491,-20.12724,False
96,Jorg,-33.11807,-15.38346,0.62854,-6.04066,-3.51771,GMMs and Accordions,19.66933,-7.85658,-76.05923,7.88986,-19.99850,False
97,Bob,-10.69590,-15.38265,-0.04048,11.38725,-1.17612,Bayesian Inference,-0.31971,-2.71231,-76.57310,7.76975,-19.99744,False
98,Atsuto,-29.44578,-15.50282,0.79139,0.75296,-3.51205,Bayesian Inference,2.64481,5.75039,-78.01530,7.75657,-20.15367,False
99,Bob,-13.96012,-15.43293,0.17128,-8.30989,-5.47596,GMMs and Accordions,-0.35877,9.90046,-79.88994,8.19090,-20.06281,False
100,Bob,-22.34696,-15.40523,0.35767,12.79286,-3.94405,Bayesian Inference,-7.42722,20.32119,-78.58852,8.31372,-20.02680,False
101,Jorg,-35.40890,-15.40823,0.75316,-7.62236,-0.46072,GMMs and Accordions,-10.76377,-42.11250,-76.63698,5.58063,-20.03070,False
102,Atsuto,-2.86706,-15.48041,-0.05053,22.28047,-1.73453,Bayesian Inference,-0.74542,1.89635,-76.12155,6.94346,-20.12454,False
103,Bob,-37.01747,-15.42353,0.83591,14.02842,0.92845,Bayesian Inference,7.78044,-8.78607,-77.77954,8.81988,-20.05059,False
104,Atsuto,-8.68029,-15.45088,0.05510,28.42826,8.26709,Bayesian Inference,-2.71642,-10.88364,-72.14267,8.90627,-20.08614,False
105,Jorg,-27.54582,-15.34909,0.38437,-3.44479,-5.67867,GMMs and Accordions,9.05220,24.25674,-77.55607,12.29223,-19.95381,False
106,Bob,-27.21890,-15.36481,0.41048,-2.38255,2.32318,GMMs and Accordions,11.14462,-13.63170,-76.14881,8.88625,-19.97425,False
107,Atsuto,-27.91064,-15.43699,0.59563,18.17100,6.56587,Bayesian Inference,9.07487,22.90886,-72.38947,9.56786,-20.06809,False
108,Bob,-4.08642,-15.46554,-0.04816,13.14323,-12.20216,Bayesian Inference,-3.18537,4.34105,-76.84544,9.47149,-20.10520,False
109,Jorg,-34.19039,-15.36740,0.62382,7.99700,-8.64476,Bayesian Inference,0.46993,7.55711,-77.58468,9.51337,-19.97762,False
110,Bob,-10.50418,-15.39667,-0.01421,13.24298,-3.29225,Bayesian Inference,-20.76600,36.55023,-77.44764,6.90013,-20.01567,False
111,Atsuto,-18.02376,-15.43783,0.30336,25.61605,0.67379,Bayesian Inference,-2.88755,12.43251,-76.26867,7.46959,-20.06918,False
112,Atsuto,-16.14449,-15.40403,0.17040,11.57877,-0.90453,Bayesian Inference,6.67354,-4.14525,-71.68655,8.18165,-20.02524,False
113,Shoogee,-5.24016,-15.52562,0.12315,9.85709,7.63078,Bayesian Inference,2.64942,22.08868,-74.55631,5.31887,-20.18331,False
114,Atsuto,-37.44865,-15.34841,0.67747,18.49772,0.24485,Bayesian Inference,-6.65124,11.38182,-79.33461,6.71368,-19.95293,False
115,Bob,-32.54756,-15.35850,0.55466,15.31214,-6.30526,Bayesian Inference,18.16607,-34.08941,-79.08930,8.11900,-19.96605,False
116,Atsuto,-24.30942,-15.40966,0.42617,19.98347,2.75535,Bayesian Inference,0.01278,-6.69008,-76.17775,7.97063,-20.03256,False
117,Atsuto,-39.94108,-15.37617,0.81493,16.72402,-1.63410,Bayesian Inference,-2.36716,-27.06818,-81.18706,7.67410,-19.98902,False
118,Bob,-12.21147,-15.36925,-0.02592,10.50796,-0.39211,Bayesian Inference,-0.25263,20.89465,-77.04070,7.91197,-19.98003,False
119,Atsuto,-0.55538,-15.45984,-0.16623,12.27733,2.32820,Bayesian Inference,8.01230,-8.51625,-78.29106,7.18539,-20.09779,False
120,Bob,-25.61417,-15.47984,0.62500,-15.37305,-7.08883,GMMs and Accordions,-10.99492,17.56456,-77.56780,8.15965,-20.12380,False
121,Atsuto,-36.69103,-15.35845,0.67783,-4.08298,-2.81575,GMMs and Accordions,3.18674,-21.64562,-76.85514,7.83170,-19.96599,False
122,Atsuto,-3.08621,-15.49093,-0.02005,15.06011,6.25043,Bayesian Inference,4.34200,-9.31480,-77.10688,6.95383,-20.13821,False
123,Bob,0.45269,-15.37291,-0.39439,-0.53960,6.09014,Bayesian Inference,-5.34723,8.45241,-77.16846,9.30997,-19.98479,True
124,Atsuto,-4.82932,-15.45408,-0.05219,-1.69488,-0.75090,GMMs and Accordions,2.54547,-5.48526,-72.96148,8.00749,-20.09030,False
125,Bob,-14.34920,-15.42315,0.16057,4.95121,-1.26389,Bayesian Inference,7.88598,-1.41828,-77.68434,7.39849,-20.05010,False
126,Jorg,-29.83960,-15.43976,0.65933,-12.61302,-2.53445,GMMs and Accordions,-3.00272,-17.48101,-77.87143,8.43734,-20.07169,False
127,Bob,-28.71566,-15.41637,0.57257,5.72798,-5.02839,Bayesian Inference,7.30434,-24.65289,-76.57453,7.15199,-20.04128,False
128,Shoogee,3.09380,-15.56293,-0.03977,13.30187,-0.15958,GMMs and Accordions,-7.47619,32.29923,-75.18143,5.83202,-20.23181,True
129,Jorg,-14.96971,-15.36876,0.05503,11.99774,2.59813,Bayesian Inference,5.38974,30.25400,-76.68976,9.80728,-19.97939,False
130,Jorg,-9.86050,-15.39805,-0.03021,5.65010,0.40113,Bayesian Inference,11.14576,-14.69680,-78.17294,7.17602,-20.01747,False
131,Bob,7.53223,-15.50212,-0.31047,15.36676,-3.40020,GMMs and Accordions,3.30748,1.98366,-78.92899,7.26037,-20.15276,True
132,Bob,-30.82339,-15.45235,0.71732,12.81052,5.14593,Bayesian Inference,16.45957,-26.20291,-78.40381,6.40051,-20.08806,False
133,Shoogee,9.98541,-15.61355,-0.12944,17.30239,-3.15349,GMMs and Accordions,-13.90426,-25.03540,-76.78883,7.54515,-20.29761,True
134,Shoogee,-1.46324,-15.48628,-0.07892,3.16748,-0.29738,Bayesian Inference,-9.52339,-3.41141,-72.91581,4.82064,-20.13217,False
135,Atsuto,-18.30908,-15.44673,0.33215,18.34799,9.13424,Bayesian Inference,3.67653,12.33917,-73.36075,9.07618,-20.08075,False
136,Jorg,-22.75429,-15.42746,0.42047,22.17401,1.79979,Bayesian Inference,5.55652,32.21087,-77.89048,6.10622,-20.05569,False
137,Atsuto,-28.78042,-15.37126,0.47166,13.70889,3.66734,Bayesian Inference,-2.76052,1.96540,-74.61173,8.37127,-19.98264,False
138,Atsuto,-16.28661,-15.38585,0.13316,-2.39329,-0.25729,GMMs and Accordions,-0.04470,9.32182,-76.98841,8.78843,-20.00160,False
139,Jorg,-30.34300,-15.38866,0.55783,32.41205,7.93069,Bayesian Inference,4.30025,-9.50048,-76.61333,7.26230,-20.00526,False
140,Bob,7.02935,-15.42869,-0.46293,7.39368,-8.37056,GMMs and Accordions,12.06355,-33.86308,-79.67115,5.70890,-20.05729,True
141,Atsuto,-14.34884,-15.52381,0.39004,2.95512,-0.15510,Bayesian Inference,-6.76233,-10.09894,-78.19259,6.96313,-20.18096,False
142,Bob,15.83705,-15.46676,-0.63819,23.99498,9.55197,GMMs and Accordions,-4.40546,-3.76580,-79.65327,8.54103,-20.10679,True
143,Shoogee,1.05155,-15.51202,-0.09508,18.81733,4.50941,GMMs and Accordions,-19.28853,-0.92131,-72.91548,4.96513,-20.16562,True
144,Atsuto,-10.20379,-15.39350,-0.03038,22.80095,-1.14838,Bayesian Inference,2.48907,18.86720,-78.51342,6.74678,-20.01155,False
145,Shoogee,-5.07444,-15.50361,0.06802,14.74901,11.32918,Bayesian Inference,30.33340,-4.44609,-76.38673,10.66831,-20.15469,False
146,Bob,-0.80767,-15.37844,-0.34428,31.87895,6.17848,Bayesian Inference,-6.94171,1.33655,-77.01093,7.18178,-19.99198,False
147,Atsuto,-27.55727,-15.35892,0.40713,22.71795,-2.35409,Bayesian Inference,-3.03932,-20.25658,-78.41842,8.25198,-19.96660,False
148,Atsuto,-12.65325,-15.39749,0.05160,6.25842,-3.77514,Bayesian Inference,-3.20347,-5.39603,-74.79210,7.16039,-20.01674,False
149,Bob,-34.62531,-15.34302,0.58119,29.65700,-1.31126,Bayesian Inference,-20.83937,30.60290,-79.00395,10.28290,-19.94593,False
150,Bob,8.75221,-15.39233,-0.59707,10.81072,-5.23421,GMMs and Accordions,-3.55707,16.38369,-76.13165,9.08972,-20.01003,True
151,Atsuto,-21.53220,-15.45783,0.45336,-1.33428,3.71082,GMMs and Accordions,-0.17982,7.85938,-78.02475,8.17014,-20.09518,False
152,Shoogee,-8.93200,-15.47841,0.12536,25.96046,-4.85199,Bayesian Inference,-5.57766,-16.90004,-75.35175,5.60758,-20.12193,False
153,Atsuto,-31.86928,-15.49839,0.85340,0.01793,-5.62436,Bayesian Inference,-12.74123,2.69434,-70.90809,6.37015,-20.14791,False
154,Bob,10.31423,-15.47164,-0.46273,-8.31662,-11.39032,Bayesian Inference,-3.83182,-3.58742,-77.24601,5.71215,-20.11314,True
155,Jorg,-6.21625,-15.41062,-0.11000,14.14429,6.45159,Bayesian Inference,0.64140,-8.03005,-73.18721,6.84509,-20.03380,False
156,Bob,-12.87777,-15.36068,-0.02564,2.13946,-3.52464,Bayesian Inference,-7.48840,23.33282,-79.47845,8.76850,-19.96888,False
157,Bob,-25.89372,-15.35508,0.34887,19.22202,1.93817,Bayesian Inference,-23.50075,36.20932,-80.90492,10.41279,-19.96160,False
158,Jorg,3.73629,-15.45560,-0.30358,2.39460,-1.34712,GMMs and Accordions,-6.28614,-32.54106,-78.42158,8.76420,-20.09228,True
159,Shoogee,5.52707,-15.57100,-0.09379,19.95221,5.34638,GMMs and Accordions,-5.50555,20.83524,-75.88506,6.31993,-20.24229,True
160,Bob,15.86884,-15.49732,-0.56948,-9.58893,-4.75958,Bayesian Inference,12.42122,-7.21184,-76.94378,7.00731,-20.14651,True
161,Shoogee,5.25630,-15.61201,0.00776,7.07475,-2.61725,GMMs and Accordions,1.60790,-62.17477,-74.95115,4.92537,-20.29561,True
162,Bob,-31.25600,-15.37975,0.56467,17.83841,3.01248,Bayesian Inference,17.91154,-37.48795,-80.71728,7.32766,-19.99368,False
163,Jorg,-36.76513,-15.43646,0.85789,7.89933,1.16648,Bayesian Inference,-17.59502,-10.88094,-76.89175,7.26684,-20.06740,False
164,Bob,21.48364,-15.45269,-0.83828,1.67299,-0.11696,GMMs and Accordions,6.03020,-6.39942,-79.62564,9.03008,-20.08850,True
165,Shoogee,-1.49414,-15.50435,-0.03681,7.97293,-11.68188,Bayesian Inference,-0.63626,-0.58951,-76.95821,4.46703,-20.15566,False
166,Bob,2.23188,-15.36669,-0.46151,5.76502,-2.83449,GMMs and Accordions,-6.81425,-1.90203,-78.17935,8.59260,-19.97670,True
167,Atsuto,-22.82339,-15.42675,0.42092,12.10036,0.85124,Bayesian Inference,4.39861,13.75509,-79.52769,10.64026,-20.05478,False
168,Atsuto,-33.49968,-15.34153,0.54430,5.68773,-2.81412,Bayesian Inference,8.33774,2.52101,-78.62789,7.54492,-19.94399,False
169,Bob,-35.06361,-15.43595,0.80609,14.81971,4.35375,Bayesian Inference,21.67328,-25.95736,-78.45157,7.29008,-20.06674,False
170,Jorg,-33.48337,-15.37201,0.61331,22.13285,-2.48374,Bayesian Inference,-20.33180,-4.61465,-77.29727,7.43167,-19.98362,False
171,Jorg,-15.88905,-15.42968,0.22127,0.73246,-5.76330,Bayesian Inference,6.08325,-34.83768,-76.41233,5.51937,-20.05858,False
172,Bob,22.24365,-15.51298,-0.72344,-2.21332,-0.82908,Bayesian Inference,-1.78286,17.51686,-78.52950,8.54922,-20.16688,True
173,,-5.89826,-15.49745,0.07850,15.76887,7.09385,Bayesian Inference,-9.45513,-41.74396,-74.87425,5.62655,-20.14669,False
174,Atsuto,-41.74420,-15.34086,0.78809,4.40504,2.28865,Bayesian Inference,-1.29650,-12.23302,-78.98724,8.71976,-19.94312,False
175,Bob,6.68270,-15.44834,-0.40780,10.53202,-4.24129,GMMs and Accordions,-9.96379,26.39302,-77.61112,6.89565,-20.08284,True
176,Bob,16.38275,-15.42168,-0.75719,10.73365,2.09972,GMMs and Accordions,12.49408,-35.32392,-80.22424,10.95035,-20.04819,True
177,Jorg,-28.79148,-15.39586,0.52807,0.14525,6.99889,Bayesian Inference,6.83694,-28.31427,-73.40298,5.24516,-20.01462,False
178,Bob,-2.11174,-15.48902,-0.05340,4.88413,-5.60498,Bayesian Inference,6.99288,-11.74967,-76.94868,8.56855,-20.13572,False
179,Atsuto,-3.99162,-15.48292,-0.01136,1.98053,-1.26664,Bayesian Inference,-2.57742,10.76284,-73.82706,6.76446,-20.12779,False
180,Bob,-5.01951,-15.45409,-0.04651,-0.02914,2.40673,GMMs and Accordions,-5.51676,11.26628,-78.36000,8.75658,-20.09031,False
181,Atsuto,-22.52489,-15.48787,0.55137,7.93749,0.27683,Bayesian Inference,13.76155,9.61551,-70.34429,7.23540,-20.13423,False
182,Bob,16.20451,-15.38967,-0.82487,11.11501,-0.85070,GMMs and Accordions,0.33851,-3.27083,-77.56382,7.92103,-20.00657,True
183,Atsuto,-7.62912,-15.40577,-0.07900,2.03782,4.14260,Bayesian Inference,5.71868,-9.24616,-75.51792,7.19342,-20.02751,False
184,Jorg,-30.46086,-15.39102,0.56670,3.38216,-3.51889,Bayesian Inference,17.69301,13.33992,-77.63332,7.38989,-20.00832,False
185,Atsuto,-7.28502,-15.36166,-0.18982,17.47329,2.27206,Bayesian Inference,-14.35868,6.77398,-75.75469,6.07642,-19.97015,False
186,Jorg,-9.99440,-15.39161,-0.04093,6.71519,-9.68871,Bayesian Inference,8.47771,46.25132,-76.57858,9.08133,-20.00909,False
